name,times called,total time(ms),min Time(ms),max Time(ms),average time(ms),frame(0),frame(1),frame(2),frame(3),frame(4),frame(5),frame(6),frame(7),frame(8),frame(9),frame(10),frame(11),frame(12),frame(13),frame(14),frame(15),frame(16),frame(17),frame(18),frame(19),frame(20),frame(21),frame(22),frame(23),frame(24),frame(25),frame(26),frame(27),frame(28),frame(29),frame(30),frame(31),frame(32),frame(33),frame(34),frame(35),frame(36),frame(37),frame(38),frame(39),frame(40),frame(41),frame(42),frame(43),frame(44),frame(45),frame(46),frame(47),frame(48),frame(49)
Game Update,160,209.443,0.00246553,2.70551,1.30902,1.38152,1.34906,1.40453,1.35851,1.35892,1.34577,1.42179,1.35892,1.36344,1.36179,1.31618,1.38974,1.3696,1.37864,1.37207,1.33673,1.42425,1.38604,1.35933,1.36714,1.37453,1.39385,1.44932,1.35193,1.36221,1.36631,1.34207,1.26071,1.36303,1.36919,1.36426,1.35769,1.38029,1.34248,1.44028,1.28742,1.40248,1.39179,1.41069,1.47973,1.41275,1.43001,1.4485,1.43001,1.47028,1.45343,1.38152,1.34906,1.40453,1.35851
Game Draw,145,924.856,5.82029,30.9173,6.37832,6.12438,6.20903,5.87125,5.86673,5.93535,6.23656,5.98343,5.96576,5.98466,5.88892,6.24683,6.14369,5.93206,5.85235,6.22176,6.09274,5.98014,5.97768,5.88563,6.13301,5.91933,6.04055,5.97357,6.11246,6.14163,6.2493,5.99699,5.94768,6.33107,6.07424,6.08986,6.06397,6.14369,6.15437,6.0163,5.9711,6.14862,6.24847,6.11123,6.10958,6.03767,6.0311,7.57288,6.13547,5.89056,6.02452,6.12438,6.20903,5.87125,5.86673
